IPO 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,25,KE Holdings,BEKE,13/08/2020,106,"$20,00","$37,44","$73,56","267,80%",-%,93,,"$67,20","236,00%"
,26,CureVac B.V.,CVAC,14/08/2020,13.3,"$16,00","$55,90","$85,68","435,50%","13,50%",93,,"$136,27","751,69%"
,27,Duck Creek Technologies Inc,DCT,14/08/2020,15,"$27,00","$40,00","$40,86","51,33","18,00%",93,,"$39,36","45,78%"
,28,Inhibrx,INBX,19/08/2020,6.0,"$17,00","$20,63","$25,10","47,65%","33,00%",93,,"$34,23","101,35%"
,29,Harmony Biosciences Holdings,HRMY,19/08/2020,4.7,"$24,00","$37,01","$43,66","81,92%","16,00%",93,,"$43,40","80,83%"
,30,Nano-X Imaging Ltd,NNOX,21/08/2020,5.9,"$18,00","$21,70","$36,74","104,11%","31,00%",93,,"$44,50","147,22%"
,31,Kymera Therapeutics,KYMR,21/08/2020,7.4,"$20,00","$33,26","$49,86","149,30%","11,00%",93,,"$55,66","178,30%"
,32,Xpeng Inc,XPEV,27/08/2020,"99,7","$15,00","$21,22","$52,36","249,07%","9,00%",93,,"$44,65","197,67%"
,33,Outset Medical,OM,15/09/2020,9,"$27,00","$60,68","$52,28","93,63%","5,50%",86,,"$52,28","93,63%"
,34,JFrog Ltd,FROG,16/09/2020,11.6,"$44,00","$64,79","$67,54","53,50%","19,50%",85,,"$67,54","53,50%"
,35,Snowflake,SNOW,16/09/2020,28,"$120,00","$253,93","$371,26","209,38%","17,50%",85,,"$371,26","209,38%"
,36,American Well Corp.,AMWL,17/09/2020,35,"$18,00","$23,95","$29,80","65,56%","20,50%",84,,"$29,80","65,56%"
,37,Sumo Logic Inc,SUMO,17/09/2020,14.8,"$22,00","$26,88","$26,92","22,36%","41,00%",84,,"$26,92","22,36%"
,38,Unity Software,U,18/09/2020,25,"$52,00","$68,35","$152,00","192,31%",9.5%,83,,"$152,00","192,31%"
,39,Athira Pharma,ATHA,18/09/2020,12,"$17,00","$17,11","$26,09","53,47%","24,00%",83,,"$26,09","53,47%"
,40,GoodRx Holdings,GDRX,23/09/2020,34.6,"$33,00","$50,50","$37,89","14,82%","20,50%",78,,"$37,89","14,82%"
,41,Bentley Systems,BSY,23/09/2020,10.8,"$22,00","$33,49","$35,53","61,50%","14,00%",78,,"$35,53","61,50%"
,42,Corsair Gaming,CRSR,23/09/2020,14.0,"$17,00","$14,25","$35,50","108,82%","27,00%",78,,"$35,50","108,82%"
,43,Prelude Therapeutics,PRLD,25/09/2020,8.3,"$19,00","$26,20","$50,07","163,53%","7,00%",76,,"$50,07","163,53%"
,44,Yalla Group Limited,YALA,30/09/2020,18.6,"$7,50","$7,00","$18,68","149,07%","41,00%",71,,"$18,68","149,07%"
,45,Chindata Group Holdings Limited,CD,30/09/2020,40,"$13,50","$16,23","$17,86","32,30%","32,00%",71,,"$17,86","32,30%"
,,,,,,,,,,,,,,
,,,,,,,,,Средняя доходность,Средняя аллокация,,,,
,,,,,,,,,"198,81%","34,18%",,,,
,,,,,,,,,,,,,,
